0,США,Плавание
1,СССР,Спортивная гимнастика
2,Финляндия,Лёгкая атлетика
3,США,Плавание
4,США,Лёгкая атлетика
5,Норвегия,Лыжные гонки
6,Норвегия,Биатлон
7,Норвегия,Лыжные гонки
8,ГДР Германия,Гребля на байдарках и каноэ
9,Япония,Спортивная гимнастика
10,США,Плавание
11,США,Плавание
12,США,Лёгкая атлетика
13,Ямайка,Лёгкая атлетика
14,СССР,Спортивная гимнастика
15,Германия,Конный спорт
16,СССР,Спортивная гимнастика
17,Чехословакия,Спортивная гимнастика
18,США,Лёгкая атлетика
19,СССР,Спортивная гимнастика
20,США,Плавание
21,Великобритания,Велосипедный спорт
22,Венгрия,Фехтование
23,США,Плавание
24,Россия ОКР,Синхронное плавание
25,Италия,Фехтование
26,Нидерланды,Конькобежный спорт
27,США,Плавание
28,Объединённая команда Россия,Лыжные гонки
29,Бельгия,Стрельба из лука
30,Япония,Спортивная гимнастика
31,Италия,Фехтование
32,Венгрия,Гребля на байдарках и каноэ
33,Швеция,Гребля на байдарках и каноэ
34,Великобритания,Велосипедный спорт
35,Объединённая команда Белоруссия,Спортивная гимнастика
36,Республика Корея Россия,Шорт-трек
37,ФРГ,Конный спорт
38,Германия,Санный спорт
39,Венгрия,Фехтование
40,Германия,Санный спорт
41,США,Плавание
42,Германия,Санный спорт
43,Венгрия,Фехтование
44,Италия,Фехтование
45,ГДР,Плавание
46,СССР,Конькобежный спорт
47,Япония,Спортивная гимнастика
48,США,Стрелковый спорт
49,Венгрия,Спортивная гимнастика
50,США,Плавание
51,Румыния,Спортивная гимнастика
52,Австралия,Плавание
53,Финляндия,Лёгкая атлетика
54,Австралия,Плавание
55,СССР,Спортивная гимнастика
56,Германия,Конькобежный спорт
57,Норвегия,Биатлон
58,Румыния,Академическая гребля
59,США,Плавание
60,Франция,Биатлон
61,Япония,Спортивная гимнастика
62,Япония,Спортивная гимнастика
63,США,Плавание
64,Великобритания,Велосипедный спорт
65,ФРГ,Конный спорт
66,США,Плавание
67,Норвегия,Лыжные гонки
68,Объединённая команда Россия,Лыжные гонки
69,США,Стрелковый спорт
70,Финляндия,Конькобежный спорт
71,Венгрия,Плавание
72,Китай,Прыжки в воду
73,США,Плавание
74,Норвегия,Лыжные гонки
75,Великобритания,Велосипедный спорт
76,СССР,Спортивная гимнастика
77,Норвегия,Стрелковый спорт
78,Ямайка,Лёгкая атлетика
79,США,Спортивная гимнастика
80,США,Плавание
81,США,Плавание
82,США,Конькобежный спорт
83,США,"Плавание, Водное поло"
84,Румыния,Академическая гребля
85,Новая Зеландия,Гребля на байдарках и каноэ
86,США,Стрелковый спорт
87,Великобритания,Академическая гребля
88,Китай,Спортивная гимнастика
89,США,Баскетбол
90,Россия,Синхронное плавание
91,Россия,Синхронное плавание
92,Китай,Настольный теннис
93,США,Баскетбол
94,США,Стрелковый спорт
95,США,Конькобежный спорт
96,Китай,Прыжки в воду
97,СССР Объединённая команда,Лыжные гонки
98,Объединённая команда Россия,Плавание
99,США,Плавание
100,Австралия,Плавание
101,ГДР,Плавание
102,США,Плавание
103,Швеция,Лыжные гонки
104,СССР,Спортивная гимнастика
105,Германия,Биатлон
106,Швейцария,Спортивная гимнастика
107,Норвегия,Стрелковый спорт
108,Норвегия,Биатлон
109,Румыния,Гребля на байдарках и каноэ
110,Россия,Спортивная гимнастика
111,Нидерланды,Конькобежный спорт
112,Нидерланды,Плавание
113,СССР,Лыжные гонки
114,США,Плавание
115,ГДР,Плавание
116,Норвегия,Горнолыжный спорт
117,Германия,Биатлон
118,Норвегия,Конькобежный спорт
119,Норвегия,Стрелковый спорт
120,Франция,Фехтование
121,Китай,Прыжки в воду
122,Норвегия,Лыжное двоеборье
123,США,Плавание
124,Италия,Фехтование
125,Франция,Фехтование
126,СССР,Спортивная гимнастика
127,Хорватия,Горнолыжный спорт
128,Республика Корея,Стрелковый спорт
129,Германия,Бобслей
130,Италия,Фехтование
131,Австралия,Плавание
132,США,Спортивная гимнастика
133,США,Плавание
134,Япония,Плавание
135,США,Стрелковый спорт
136,Австралия,Плавание
137,Канада,Шорт-трек
138,Китай,Шорт-трек
139,Германия,Гребля на байдарках и каноэ
140,Белоруссия,Биатлон
141,Румыния,Академическая гребля
142,Норвегия,Лыжные гонки
143,Республика Корея,Стрельба из лука
144,США,Плавание
145,Нидерланды,Велосипедный спорт
146,СССР,Фехтование
147,Австралия,Плавание
148,Швеция,Лыжные гонки
149,СССР,Фехтование
150,СССР,Спортивная гимнастика
151,Китай,Настольный теннис
152,СССР,Конькобежный спорт
153,Чехословакия,Лёгкая атлетика
154,СССР,Лыжные гонки
155,Украина,Плавание
156,Финляндия,Лёгкая атлетика
157,Норвегия,Конькобежный спорт
158,Германия,Бобслей
159,США,Прыжки в воду
160,СССР,Спортивная гимнастика
161,США,Плавание
162,Финляндия,Прыжки на лыжах с трамплина
163,Нидерланды,Конный спорт
164,Италия,Фехтование
165,Румыния,Спортивная гимнастика
166,СССР,Биатлон
167,США,Теннис
168,Канада,Хоккей с шайбой
169,Новая Зеландия,Гребля на байдарках и каноэ
170,Куба,Фехтование
171,Китай,Прыжки в воду
172,Канада,Хоккей с шайбой
173,США,Лёгкая атлетика
174,США,Плавание
175,Великобритания,Парусный спорт
176,США,Лёгкая атлетика
177,Венгрия,Фехтование
178,ФРГ Германия,Конный спорт
179,Германия,Академическая гребля
180,Италия,Спортивная гимнастика
181,Китай,Спортивная гимнастика
182,США,Плавание
183,Объединённая команда Россия,Фехтование
184,США,Лёгкая атлетика
185,Румыния,Академическая гребля
186,США,Велосипедный спорт
187,Республика Корея,Шорт-трек
188,США,Баскетбол
189,Швейцария,Прыжки на лыжах с трамплина
190,Нидерланды,Лёгкая атлетика
191,Швеция,Лыжные гонки
192,ГДР,Лёгкая атлетика
193,Финляндия,Лёгкая атлетика
194,Венгрия,Плавание
195,США,Лёгкая атлетика
196,Китай,Настольный теннис
197,США,Лёгкая атлетика
198,Россия,Синхронное плавание
199,Япония,Вольная борьба
200,Австралия,Лёгкая атлетика
201,Швейцария,Лыжные гонки
202,Польша,Лёгкая атлетика
203,США,Плавание
204,СССР,Фехтование
205,США,Лёгкая атлетика
206,США,Баскетбол
207,США,Баскетбол
208,Куба,Греко-римская борьба
209,США,Прыжки в воду
210,Германия,Бобслей
211,США,Лёгкая атлетика
212,США,Лёгкая атлетика
213,Италия,Фехтование
214,Великобритания,Академическая гребля
215,Великобритания,"Водное поло, Плавание"
216,СССР,Плавание
217,Швеция,Конный спорт
218,США,Теннис
219,Германия,Конный спорт
220,Канада,Хоккей с шайбой
221,Великобритания,Лёгкая атлетика
222,США,Баскетбол
223,Германия,Бобслей
224,Венгрия,Фехтование
225,Китай,Настольный теннис
226,Китай,Прыжки в воду
227,Германия,"Спортивная гимнастика, борьба"
228,Дания,Парусный спорт
