0,Майкл Фелпс,США,Плавание,2004—2016,23,3,2,28
1,Лариса Латынина,СССР,Спортивная гимнастика,1956—1964,9,5,4,18
2,Пааво Нурми,Финляндия,Лёгкая атлетика,1920—1928,9,3,0,12
3,Марк Спитц,США,Плавание,1968—1972,9,1,1,11
4,Карл Льюис,США,Лёгкая атлетика,1984—1996,9,1,0,10
5,Марит Бьёрген,Норвегия,Лыжные гонки,2002—2018,8,4,3,15
6,Уле-Эйнар Бьёрндален,Норвегия,Биатлон,1998—2014,8,4,1,13
7,Бьёрн Дели,Норвегия,Лыжные гонки,1992—1998,8,4,0,12
8,Биргит Фишер,ГДР Германия,Гребля на байдарках и каноэ,1980—2004,8,4,0,12
9,Савао Като,Япония,Спортивная гимнастика,1968—1976,8,3,1,12
10,Дженни Томпсон,США,Плавание,1992—2004,8,3,1,12
11,Мэтт Бионди,США,Плавание,1984—1992,8,2,1,11
12,Рэй Юри,США,Лёгкая атлетика,1900—1908,8,0,0,8
13,Усэйн Болт,Ямайка,Лёгкая атлетика,2008—2016,8,0,0,8
14,Николай Андрианов,СССР,Спортивная гимнастика,1972—1980,7,5,3,15
15,Изабель Верт,Германия,Конный спорт,1992—2020,7,5,0,12
16,Борис Шахлин,СССР,Спортивная гимнастика,1956—1964,7,4,2,13
17,Вера Чаславска,Чехословакия,Спортивная гимнастика,1960—1968,7,4,0,11
18,Эллисон Феликс,США,Лёгкая атлетика,2004—2020,7,3,1,11
19,Виктор Чукарин,СССР,Спортивная гимнастика,1952—1956,7,3,1,11
20,Кэти Ледеки,США,Плавание,2012—2020,7,3,0,10
21,Джейсон Кенни,Великобритания,Велосипедный спорт,2008—2020,7,2,0,9
22,Аладар Геревич,Венгрия,Фехтование,1932—1960,7,1,2,10
23,Калеб Дрессел,США,Плавание,2016—2020,7,0,0,7
24,Светлана Ромашина,Россия ОКР,Синхронное плавание,2008—2020,7,0,0,7
25,Эдоардо Манджаротти,Италия,Фехтование,1936—1960,6,5,2,13
26,Ирен Вюст,Нидерланды,Конькобежный спорт,2006—2022,6,5,2,13
27,Райан Лохте,США,Плавание,2004—2016,6,3,3,12
28,Любовь Егорова,Объединённая команда Россия,Лыжные гонки,1992—1994,6,3,0,9
29,Хуберт Ван Иннис,Бельгия,Стрельба из лука,1900—1920,6,3,0,9
30,Акинори Накаяма,Япония,Спортивная гимнастика,1968—1972,6,2,2,10
31,Валентина Веццали,Италия,Фехтование,1996—2012,6,1,2,9
32,Данута Козак,Венгрия,Гребля на байдарках и каноэ,2008—2020,6,1,1,8
33,Герт Фредрикссон,Швеция,Гребля на байдарках и каноэ,1948—1960,6,1,1,8
34,Крис Хой,Великобритания,Велосипедный спорт,2000—2012,6,1,0,7
35,Виталий Щербо,Объединённая команда Белоруссия,Спортивная гимнастика,1992—1996,6,0,4,10
36,Виктор Ан (Ан Хён Су),Республика Корея Россия,Шорт-трек,"2006, 2014",6,0,2,8
37,Райнер Климке,ФРГ,Конный спорт,1964—1988,6,0,2,8
38,Натали Гайзенбергер,Германия,Санный спорт,2010—2022,6,0,1,7
39,Пал Ковач,Венгрия,Фехтование,1936—1960,6,0,1,7
40,Тобиас Арльт,Германия,Санный спорт,2014—2022,6,0,0,6
41,Эми Ван Дайкен,США,Плавание,1996—2000,6,0,0,6
42,Тобиас Вендль,Германия,Санный спорт,2014—2022,6,0,0,6
43,Рудольф Карпати,Венгрия,Фехтование,1948—1960,6,0,0,6
44,Недо Нади,Италия,Фехтование,1912—1920,6,0,0,6
45,Кристин Отто,ГДР,Плавание,1988,6,0,0,6
46,Лидия Скобликова,СССР,Конькобежный спорт,1960—1964,6,0,0,6
47,Такаси Оно,Япония,Спортивная гимнастика,1952—1964,5,4,4,13
48,Карл Осберн,США,Стрелковый спорт,1912—1924,5,4,2,11
49,Агнеш Келети,Венгрия,Спортивная гимнастика,1952—1956,5,3,2,10
50,Гэри Холл-младший,США,Плавание,1996—2004,5,3,2,10
51,Надя Комэнеч,Румыния,Спортивная гимнастика,1976—1980,5,3,1,9
52,Иан Торп,Австралия,Плавание,2000—2004,5,3,1,9
53,Вилле Ритола,Финляндия,Лёгкая атлетика,1924—1928,5,3,0,8
54,Эмма Маккеон,Австралия,Плавание,2016—2020,5,2,4,11
55,Полина Астахова,СССР,Спортивная гимнастика,1956—1964,5,2,3,10
56,Клаудия Пехштайн,Германия,Конькобежный спорт,1992—2006,5,2,2,9
57,Йоханнес Тиннес Бё,Норвегия,Биатлон,2018—2022,5,2,1,8
58,Элисабета Липэ,Румыния,Академическая гребля,1984—2004,5,2,1,8
59,Аарон Пирсол,США,Плавание,2000—2008,5,2,0,7
60,Мартен Фуркад,Франция,Биатлон,2010—2018,5,2,0,7
61,Юкио Эндо,Япония,Спортивная гимнастика,1960—1968,5,2,0,7
62,Мицуо Цукахара,Япония,Спортивная гимнастика,1968—1976,5,1,3,9
63,Натан Эдриан,США,Плавание,2008—2016,5,1,2,8
64,Брэдли Уиггинс,Великобритания,Велосипедный спорт,2000—2016,5,1,2,8
65,Ханс Гюнтер Винклер,ФРГ,Конный спорт,1956—1976,5,1,1,7
66,Том Джегер,США,Плавание,1984—1992,5,1,1,7
67,Йоханнес Хёсфлот Клебо,Норвегия,Лыжные гонки,2018—2022,5,1,1,7
68,Лариса Лазутина,Объединённая команда Россия,Лыжные гонки,1992—1998,5,1,1,7
69,Уиллис Ли,США,Стрелковый спорт,1920,5,1,1,7
70,Клас Тунберг,Финляндия,Конькобежный спорт,1924—1928,5,1,1,7
71,Кристина Эгерсеги,Венгрия,Плавание,1988—1996,5,1,1,7
72,У Минься,Китай,Прыжки в воду,2004—2016,5,1,1,7
73,Дана Воллмер,США,Плавание,2004—2016,5,1,1,7
74,Томас Альсгорд,Норвегия,Лыжные гонки,1994—2002,5,1,0,6
75,Лора Кенни,Великобритания,Велосипедный спорт,2012—2016,5,1,0,6
76,Нелли Ким,СССР,Спортивная гимнастика,1976—1980,5,1,0,6
77,Оле Лилло-Ольсен,Норвегия,Стрелковый спорт,1920—1924,5,1,0,6
